"split","file_name","source_zip","sha256","group_id","annotation"
"train","hn_picture1_0001.jpg","picture1.zip","8225E9BE699B4379FB25D22836E3227F7C9B18C5BA8E46515ABD89C1205AEC0B","0","empty_negative"
"train","hn_picture1_0002.jpg","picture1.zip","9C9E2323ECA5A1EE8820E660F00FCE52660B4A83C9BA0A0CC61872B3D0B39280","0","empty_negative"
"train","hn_picture1_0003.jpg","picture1.zip","896EBC332D96C456F44B03D6FB7E74211F7F3D8CD3597BBCF8E286741BFA870F","0","empty_negative"
"train","hn_picture1_0004.jpg","picture1.zip","9CE9FC74C55404296ADA5D83F15A91835FECEFA6E25DECF4D8E08D0AA6487307","0","empty_negative"
"train","hn_picture1_0005.jpg","picture1.zip","39A3B8A57C86C51D30BDC715026F96B863F8058AFEAF6EB60B430159DC55E23E","0","empty_negative"
"train","hn_picture1_0006.jpg","picture1.zip","048A07CEAD08DF3AA7A5CB8AF37328C1569EB52AEDC16D483459DDBD1B34E15C","0","empty_negative"
"train","hn_picture1_0007.jpg","picture1.zip","25AEFCE9A800F04A6352967EB37E7C7859B98598234BC9BC0756FB8417A3DB94","0","empty_negative"
"train","hn_picture1_0008.jpg","picture1.zip","57E8A490D7E8E37102B483EF1243B9A5AA3F05DBC534F56D7676F739A589FF1C","0","empty_negative"
"train","hn_picture1_0009.jpg","picture1.zip","A316C4ADDD1EB1032D542568E50E3ACA59859CCD89BAE38F8856BE2C6188CF65","0","empty_negative"
"train","hn_picture1_0010.jpg","picture1.zip","E0AC01DF2415B223653178BADFE470CBE900BB0BD7B0B3CDE5EFD5308A7DED95","0","empty_negative"
"train","hn_picture1_0011.jpg","picture1.zip","5E4676AB5E5AD55536767D8685DED7E63B4299EAA158A3920D72174CD6DEA9F1","0","empty_negative"
"train","hn_picture1_0012.jpg","picture1.zip","1B11E1117B00DCCA9C03FAEAE5A37BC4F0F6CC28F0DAEF780A4BA39D9D73A05A","0","empty_negative"
"train","hn_picture1_0013.jpg","picture1.zip","A3C2913EE459366C048C1AB510F89A1A8DFBB72702B3E4ED7EAC966ED5A4762D","0","empty_negative"
"train","hn_picture1_0014.jpg","picture1.zip","75A54C2CE8248803B296D0ACA8FB86C4B123D79F79126504BC4C2B3E7888BA16","0","empty_negative"
"train","hn_picture1_0015.jpg","picture1.zip","8073BD1F669F86C3CFB5733B941A04B01EE79156A94179F1AA068036A185BD96","0","empty_negative"
"train","hn_picture1_0016.jpg","picture1.zip","A491D57B4C69FF52A9820095369D8E60C88044FB0273B580470806C7D4DA1AF0","0","empty_negative"
"train","hn_picture1_0017.jpg","picture1.zip","ADA106650F12D4AC99C6AC7CD0A6B6258C2354D7C4E0293FE3E52176745D2FBA","0","empty_negative"
"train","hn_picture1_0018.jpg","picture1.zip","3B268C46B0BC3DB2B59D58D471714D0DFA16DDF755221AE15B40671929487B6F","0","empty_negative"
"train","hn_picture1_0019.jpg","picture1.zip","5DF9EE86AE151E7501469494D87DAECDB92E8E3C5C1AC37D99AA81614223B0BC","0","empty_negative"
"train","hn_picture1_0020.jpg","picture1.zip","AE6D0D183FEF0AC0931422917C47B4B6C4989548815CE14F54DB5077C6D0FC91","0","empty_negative"
"train","hn_picture1_0021.jpg","picture1.zip","724E92648253461A3804E17CBAB0F5B79A9ECE1985EDFFEEE093D1BA5525AEDF","1","empty_negative"
"train","hn_picture1_0022.jpg","picture1.zip","81975F7A191955DD9ED55C028EDB6902F1359E8FA18C47BEF9DBFB498CBF980E","1","empty_negative"
"train","hn_picture1_0023.jpg","picture1.zip","ACAA4664B8B76731E1E33460E5C3D88A8073C0E70A4F08C3DB021B5ABBD19329","1","empty_negative"
"train","hn_picture1_0024.jpg","picture1.zip","2811E9F70431564B3C7B6163F38B34E6948CAD95DB6068520340F97566959C52","1","empty_negative"
"train","hn_picture1_0025.jpg","picture1.zip","2D841B2C82DCFACCF456C676ABD81BD47429D6F0CCD11B3582B3A7376C2DC5D9","1","empty_negative"
"train","hn_picture1_0026.jpg","picture1.zip","D5987AD3909EB16517ECABC37AE3821701037725AEEFCBD1F3D6944AF349FEE9","1","empty_negative"
"train","hn_picture1_0027.jpg","picture1.zip","2B61DCA612EBFB7F3A6ABEE0057DC3707435803EF3FFB7894C93C771FF545C9C","1","empty_negative"
"train","hn_picture1_0028.jpg","picture1.zip","1B0DC2362451EA0803D402792BB3D6D87A55144A1D4A613D6C8F3B1E1A2BBE00","1","empty_negative"
"train","hn_picture1_0029.jpg","picture1.zip","FE339BB1865152553DE9ECF3BE3F7B6CA772841CC8D9DD2B735A763A2E7F579A","1","empty_negative"
"train","hn_picture1_0030.jpg","picture1.zip","9C013BCD222972ACCBF8116DA1B804D0F1537A15B9334C5D0E3C0FC5521E2D8D","1","empty_negative"
"train","hn_picture1_0031.jpg","picture1.zip","5BDB91AB7B4301CD5B2A238E52F6B0571E1C4752222D708B4F3ACAD15458F633","1","empty_negative"
"train","hn_picture1_0032.jpg","picture1.zip","BB95C4DFDCA9C37ADB1D6C786A9C83D6955CBBE813A75C2FB74B405CE7385D5E","1","empty_negative"
"train","hn_picture1_0033.jpg","picture1.zip","4A369A99FC3533FFDA8AED642468186E003F4564E0B4FC37E84F2FE5A1E12E64","1","empty_negative"
"train","hn_picture1_0034.jpg","picture1.zip","1FEC86079E6818508BE0762CA21C06396D2ECBFC2D11906F484C2973E385190A","1","empty_negative"
